ageInYears,age_orev,subjID,mean_orev,cor_orev,n_orev,age_tango,mean_tango,time_diff
6,6.5188227241615335,9Lwhk67b,0.8181818181818182,18,22,5.94113620807666,0.7333333333333333,0.5776865160848734
6,6.529774127310062,3J3CDH1e,0.9090909090909091,20,22,5.727583846680356,0.6,0.8021902806297057
6,6.562628336755647,8bSBCphi,0.9545454545454546,21,22,5.990417522245037,0.4666666666666667,0.5722108145106093
6,6.590006844626968,Ay9ZHXXJ,0.8636363636363635,19,22,6.026009582477755,1,0.5639972621492131
6,6.611909650924025,6XwHZANx,0.9545454545454546,21,22,6.039698836413415,0.8666666666666667,0.5722108145106093
6,6.652977412731006,GXVP2bBd,0.8181818181818181,18,22,6.138261464750171,0.06666666666666667,0.514715947980835
6,6.663928815879535,dxWYAfo9,0.8636363636363636,19,22,6.151950718685832,0.5333333333333333,0.5119780971937029
6,6.663928815879535,hkgtxF49,0.6818181818181819,15,22,6.105407255304586,0.4666666666666667,0.558521560574949
6,6.694045174537988,8FZw4XJY,0.5454545454545454,12,22,6.121834360027378,0.2,0.5722108145106093
6,6.713210130047912,FfikcWMD,0.9090909090909091,20,22,6.160164271047228,0.5333333333333333,0.5530458590006839
6,6.746064339493498,6LyAvBuh,0.8636363636363636,19,22,6.151950718685832,0.26666666666666666,0.5941136208076658
6,6.7734428473648185,ds6shHHP,0.8636363636363636,19,22,6.242299794661191,0.7333333333333333,0.5311430527036274
6,6.778918548939083,aoxpkdue,0.6363636363636364,14,22,6.209445585215605,0.6666666666666666,0.5694729637234772
6,6.844626967830253,HGZDFhgo,1,22,22,6.310746064339494,0.6,0.5338809034907595
6,6.872005475701574,gRp5ktdD,0.8181818181818182,18,22,6.308008213552362,0.7333333333333333,0.5639972621492122
6,6.937713894592744,35zXz9Fv,1,22,22,6.379192334017796,0.2,0.5585215605749481
6,6.97056810403833,ACsC3uQh,0.7272727272727273,16,22,6.4284736481861735,0.26666666666666666,0.5420944558521565
6,6.981519507186858,6mWcUCB2,0.9090909090909091,20,22,6.403832991101985,0.8666666666666667,0.5776865160848734
6,6.9897330595482545,bdUMeohZ,0.6818181818181818,15,22,6.406570841889117,0.4666666666666667,0.5831622176591376
7,7.003422313483915,eTY1Xtz7,0.9090909090909091,20,22,6.483230663928816,0.3333333333333333,0.5201916495550991
7,7.222450376454483,hMF5pWLN,0.8181818181818181,18,22,6.740588637919234,0.9333333333333333,0.4818617385352493
7,7.236139630390143,i9fhP7e6,0.9090909090909091,20,22,6.7268993839835725,0.3333333333333333,0.5092402464065708
7,7.247091033538672,gStxQPiD,0.7272727272727273,16,22,6.765229295003422,0.4666666666666667,0.4818617385352493
7,7.288158795345653,DtM3PrD3,0.8181818181818182,18,22,6.7351129363449695,0.6,0.553045859000683
7,7.301848049281314,fEnDVZEZ,0.9090909090909091,20,22,6.7734428473648185,0.8666666666666667,0.5284052019164953
7,7.353867214236824,5aM8nmqm,0.6818181818181819,15,22,6.798083504449007,0.2,0.5557837097878169
7,7.394934976043806,EAGyera2,0.8636363636363636,19,22,6.882956878850103,0.3333333333333333,0.5119780971937029
7,7.411362080766598,55yXyZtw,1,22,22,6.841889117043121,0.8,0.5694729637234772
7,7.534565366187543,ggqXxMnS,0.8636363636363636,19,22,7.036276522929501,0.8,0.49828884325804257
7,7.545516769336071,fNTR4uat,0.8636363636363635,19,22,6.97056810403833,0.8666666666666667,0.5749486652977414
7,7.575633127994524,eZaodMHq,0.9090909090909091,20,22,7.039014373716633,0.7333333333333333,0.5366187542778915
