b_Intercept,b_ccAge,b_age,b_datacollectionremoteMunsupervised,b_studyversionbox,lprior,lp__
-1.0885698302037,-0.180372258643536,0.506273128521359,0.766962040420177,0.963120617312919,-1.92212606858692,-280.577190986379
-1.06232984605962,-0.175323687411789,0.559041520929467,0.764537875977198,0.980687045421633,-1.92068198186389,-282.06375643778
-1.1578217730759,-0.201073476880852,0.519533087993721,0.877559920053266,1.05171958927251,-1.92087351532926,-280.787702694823
-1.140156106801,-0.198451834680273,0.508172600472085,0.782732781851571,1.09430921619805,-1.9208579692793,-280.332192496005
-1.3507515276809,-0.155076228285827,0.5256666779687,0.703316252090912,1.30425345835222,-1.92751487169323,-282.22542147934
-1.25749883914928,-0.168543359561821,0.449440387059148,0.899650223831658,1.06137713230595,-1.92487191073915,-280.753129971497
-1.09783361677314,-0.165959997227216,0.360185680102481,0.772346100770776,1.02576116980925,-1.92077434022771,-282.683488563674
-1.10867019042302,-0.201782046483501,0.421804455203832,0.786677874986576,1.00192972633872,-1.92158998254353,-281.007061738766
-1.17859225995291,-0.0732151543357951,0.51501865704462,0.863971124139791,1.07095301360434,-1.92144726016999,-280.846851893049
-1.1598175989942,-0.210188996147527,0.457683556336756,0.715504085452539,1.05898030998632,-1.92406655942703,-280.528163711536
-1.12401729516658,-0.162559749714545,0.470456633149524,0.719572779560245,1.05998131416952,-1.92213835869036,-279.628643943685
-1.20580474747405,-0.173787640774166,0.484703467700282,0.762479869046099,1.13798453702592,-1.92304691012538,-279.490152055322
-1.24655814882169,-0.147733701455343,0.538632046602743,0.870862165863846,1.11939590612634,-1.92326355727797,-279.999646914999
-1.34884146994053,-0.136787175106899,0.561863502264508,0.714221510737315,1.25319895898915,-1.92907674050277,-282.708294707179
-1.17128906017939,-0.165636815874731,0.474002595453925,0.73145457066482,1.12007270341192,-1.92251107526799,-279.518948292128
-1.12721359140015,-0.12309076169107,0.412419529007401,0.708383715219017,1.0712002880687,-1.92214067475563,-280.493815722373
-1.20611417856735,-0.131020225319874,0.6065772714678,0.795474359668408,1.17008948534509,-1.92161515675229,-282.168732186894
-1.14645921147283,-0.0632722998770432,0.532705437878838,0.860640475487253,0.895106507924079,-1.92492316405207,-283.335644619448
-1.3657568568148,-0.191079921494501,0.454716909495722,0.729352418521465,1.24639432024371,-1.92999914034463,-283.360540132827
-0.983514224798441,-0.0816967091598052,0.500369370812528,0.833216413310301,0.912091464413145,-1.91844152566745,-284.212023899792
-1.18108834696899,-0.230075444623146,0.502135517699627,0.786233626131444,1.12628342110543,-1.92175858058211,-280.748229030597
-1.23214070878438,-0.123814744472842,0.518129923184217,0.747266371905716,1.14261322400155,-1.92466044483871,-279.781795073736
-1.30826525982592,-0.138846109996651,0.514138885929868,0.879121495568772,1.21113093452339,-1.92353512442709,-280.550659250223
-1.27007799502782,-0.104208376010544,0.515651637418709,0.892258389833929,1.157611636293,-1.92282947464981,-280.559613167239
-1.22945053449109,-0.140206765236656,0.543038736630239,0.921927315765145,1.01767506845597,-1.92422628445541,-280.993722896658
-1.22856124272906,-0.166504533630514,0.430537806816595,0.702349630037622,1.24928433496661,-1.92231058339679,-281.660258785285
-1.19326349069358,-0.160181662655391,0.444421720298947,0.690292828912448,1.0726338026941,-1.92613898615556,-280.554720769693
-1.25225284402687,-0.168064256274476,0.402052051493257,0.754232123401054,1.12920959438643,-1.92601163814767,-281.590044628953
-1.12980979653308,-0.126587437563304,0.57618644103261,0.76742463765464,1.06535855254234,-1.92139891153647,-281.330863352779
-1.16922442138879,-0.235770665632861,0.498474842092792,0.784634118400371,1.16849921522189,-1.92033801033201,-281.797907275608
-1.18392676200162,-0.138418480552954,0.485500051072437,0.893477282505926,1.01183495659593,-1.92264054204811,-280.00904908274
-1.34798547241828,-0.0855465649998874,0.538067702683404,1.0133572105443,1.16810411219235,-1.9237876286217,-283.306501093625
-1.10185216460823,-0.118432172791615,0.513281709084804,0.750764963753481,0.909637346516192,-1.92468970849501,-281.61047564541
-1.19860989832888,-0.107846824088568,0.428150378338063,0.750196875457344,1.21740101434735,-1.92085525597091,-281.835110720947
-1.25170071917379,-0.108014388090041,0.563478006123602,0.912622278501997,1.02599322126925,-1.92545513195911,-281.934117701074
-1.13904586269748,-0.186682432031801,0.427055376071432,0.617050154358717,1.1759696292527,-1.92185243731402,-281.907297541518
-1.13701314951947,-0.151242574827977,0.490190431431961,0.87398452553329,1.00532653067486,-1.92111048866331,-280.122042730495
-1.18327632554171,-0.105561280896839,0.452311756691671,0.925222828563908,1.05256472565592,-1.92092660291629,-281.127451379462
-1.08095432499432,-0.0992071865498817,0.457230512422323,0.746929528957527,0.959012533239177,-1.92219277795073,-280.431545080096
-1.22145137008604,-0.193578454189138,0.384425051257621,1.00459158432137,0.994366885040235,-1.92251136114193,-284.575667293652
-1.30463469527226,-0.0799796197641722,0.501383513318599,0.778854449101707,1.25851194242142,-1.92420126805307,-281.588834206104
-1.04650031608306,-0.210738579655448,0.450404292322737,0.680213490989611,0.960800816265606,-1.92197911441281,-281.786381437159
