b_Intercept,b_pe,b_age,b_datacollectionremoteMunsupervised,b_studyversionbox,lprior,lp__
-1.2370343595558,0.0231330497679065,0.481252628191839,0.78689320893443,1.14354312903952,-1.92376070749714,-283.198495954703
-1.22001029251457,-0.0364403259844323,0.516447713317654,0.854744863116318,1.07223684981006,-1.92359223050158,-284.602019183222
-1.10477689142184,0.080202498810777,0.453927232529275,0.721207061144617,1.01571520089276,-1.92210852236355,-283.316559737329
-1.23758779371652,0.0567118383367333,0.466262617618094,0.790203500116085,1.09646175365516,-1.92510193327806,-283.347726704464
-1.11636454365431,0.0196367081892276,0.489275282599072,0.692199519386787,1.07306520664338,-1.92187874796929,-283.259955281985
-1.33120102827156,0.0670641682415669,0.431793974884305,0.821202076128494,1.12518238639741,-1.92913739100364,-286.468834728658
-1.11406522951046,0.0661874400221786,0.589920708037676,0.842493110222019,1.05501043224736,-1.91963850643548,-286.295706257947
-1.30135268290856,0.0749971476643822,0.441158121434596,0.662423055590561,1.27670375065695,-1.9260727995598,-285.796226946199
-1.08935542297683,0.0313770929788612,0.505254158180416,0.913227029804954,0.922179874252905,-1.92030827474549,-285.228567057782
-1.06521041724149,0.0433353033011751,0.496273678731211,0.710703204940358,1.00809567950817,-1.92089954097731,-283.576554182519
-1.22627047338703,0.0664285730117797,0.468061019315236,0.835353821606517,1.21487322487549,-1.92040207537715,-284.707155645796
-1.12660165593072,0.0604524918629731,0.507817328477296,0.597800885486721,1.01562753445243,-1.92632746120877,-285.399404711579
-1.18140403869943,-0.0051559239158226,0.442107543424202,0.950132814531171,1.06195039979055,-1.92018353093366,-285.841823561974
-1.12553242873731,0.0477854375531149,0.515917293493078,0.700206666370287,1.07988170655214,-1.9219296446036,-283.209714249572
-1.24401836334805,-0.00776036024928333,0.571419261385435,0.932521464902175,1.03753806923557,-1.92409220815567,-285.846516356874
-1.23601165924167,0.0373750940598083,0.468823753875745,0.842951613558456,1.04178702912466,-1.92552107299587,-283.836687524642
-1.20451454808834,0.0584237088181982,0.484932951733017,0.751774120161185,1.15381940155744,-1.92253986295479,-282.922754851876
-1.17246412274189,0.0239213343577032,0.452051230419508,0.657319894100642,1.15339208699888,-1.92305533609984,-283.767250164358
